Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
LandauDampingPIF{0}> Landau damping
LandauDampingPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
LandauDampingPIF{0}> particles created and initial conditions assigned 
LandauDampingPIF{0}> Finished time step: 127 time: 6.35
LandauDampingPIF{0}> Finished time step: 128 time: 6.4
LandauDampingPIF{0}> Finished time step: 129 time: 6.45
LandauDampingPIF{0}> Finished time step: 130 time: 6.5
LandauDampingPIF{0}> Finished time step: 131 time: 6.55
LandauDampingPIF{0}> Finished time step: 132 time: 6.6
LandauDampingPIF{0}> Finished time step: 133 time: 6.65
LandauDampingPIF{0}> Finished time step: 134 time: 6.7
LandauDampingPIF{0}> Finished time step: 135 time: 6.75
LandauDampingPIF{0}> Finished time step: 136 time: 6.8
LandauDampingPIF{0}> Finished time step: 137 time: 6.85
LandauDampingPIF{0}> Finished time step: 138 time: 6.9
LandauDampingPIF{0}> Finished time step: 139 time: 6.95
LandauDampingPIF{0}> Finished time step: 140 time: 7
LandauDampingPIF{0}> Finished time step: 141 time: 7.05
LandauDampingPIF{0}> Finished time step: 142 time: 7.1
LandauDampingPIF{0}> Finished time step: 143 time: 7.15
LandauDampingPIF{0}> Finished time step: 144 time: 7.2
LandauDampingPIF{0}> Finished time step: 145 time: 7.25
LandauDampingPIF{0}> Finished time step: 146 time: 7.3
LandauDampingPIF{0}> Finished time step: 147 time: 7.35
LandauDampingPIF{0}> Finished time step: 148 time: 7.4
LandauDampingPIF{0}> Finished time step: 149 time: 7.45
LandauDampingPIF{0}> Finished time step: 150 time: 7.5
LandauDampingPIF{0}> Finished time step: 151 time: 7.55
LandauDampingPIF{0}> Finished time step: 152 time: 7.6
LandauDampingPIF{0}> Finished time step: 153 time: 7.65
LandauDampingPIF{0}> Finished time step: 154 time: 7.7
LandauDampingPIF{0}> Finished time step: 155 time: 7.75
LandauDampingPIF{0}> Finished time step: 156 time: 7.8
LandauDampingPIF{0}> Finished time step: 157 time: 7.85
LandauDampingPIF{0}> Finished time step: 158 time: 7.9
LandauDampingPIF{0}> Finished time step: 159 time: 7.95
LandauDampingPIF{0}> Finished time step: 160 time: 8
LandauDampingPIF{0}> Finished time step: 161 time: 8.05
LandauDampingPIF{0}> Finished time step: 162 time: 8.1
LandauDampingPIF{0}> Finished time step: 163 time: 8.15
LandauDampingPIF{0}> Finished time step: 164 time: 8.2
LandauDampingPIF{0}> Finished time step: 165 time: 8.25
LandauDampingPIF{0}> Finished time step: 166 time: 8.3
LandauDampingPIF{0}> Finished time step: 167 time: 8.35
LandauDampingPIF{0}> Finished time step: 168 time: 8.4
LandauDampingPIF{0}> Finished time step: 169 time: 8.45
LandauDampingPIF{0}> Finished time step: 170 time: 8.5
LandauDampingPIF{0}> Finished time step: 171 time: 8.55
LandauDampingPIF{0}> Finished time step: 172 time: 8.6
LandauDampingPIF{0}> Finished time step: 173 time: 8.65
LandauDampingPIF{0}> Finished time step: 174 time: 8.7
LandauDampingPIF{0}> Finished time step: 175 time: 8.75
LandauDampingPIF{0}> Finished time step: 176 time: 8.8
LandauDampingPIF{0}> Finished time step: 177 time: 8.85
LandauDampingPIF{0}> Finished time step: 178 time: 8.9
LandauDampingPIF{0}> Finished time step: 179 time: 8.95
LandauDampingPIF{0}> Finished time step: 180 time: 9
LandauDampingPIF{0}> Finished time step: 181 time: 9.05
LandauDampingPIF{0}> Finished time step: 182 time: 9.1
LandauDampingPIF{0}> Finished time step: 183 time: 9.15
LandauDampingPIF{0}> Finished time step: 184 time: 9.2
LandauDampingPIF{0}> Finished time step: 185 time: 9.25
LandauDampingPIF{0}> Finished time step: 186 time: 9.3
LandauDampingPIF{0}> Finished time step: 187 time: 9.35
LandauDampingPIF{0}> Finished time step: 188 time: 9.4
LandauDampingPIF{0}> Finished time step: 189 time: 9.45
LandauDampingPIF{0}> Finished time step: 190 time: 9.5
LandauDampingPIF{0}> Finished time step: 191 time: 9.55
