time, Ez_field_energy, Ez_max_norm
9.7500000000e-01 2.5657124324e+00 2.4229535649e-02
9.7812500000e-01 2.5384339292e+00 2.4087691840e-02
9.8125000000e-01 2.5112847985e+00 2.3945677308e-02
9.8437500000e-01 2.4842662813e+00 2.3803494414e-02
9.8750000000e-01 2.4573795869e+00 2.3661145515e-02
9.9062500000e-01 2.4306258845e+00 2.3518632949e-02
9.9375000000e-01 2.4040063040e+00 2.3375959072e-02
9.9687500000e-01 2.3775219285e+00 2.3233126255e-02
1.0000000000e+00 2.3511737864e+00 2.3090136856e-02
1.0031250000e+00 2.3249628516e+00 2.2946993249e-02
1.0062500000e+00 2.2988900379e+00 2.2803697804e-02
1.0093750000e+00 2.2729561992e+00 2.2660252888e-02
1.0125000000e+00 2.2471621309e+00 2.2516660867e-02
1.0156250000e+00 2.2215085749e+00 2.2372924122e-02
1.0187500000e+00 2.1959962194e+00 2.2229045026e-02
1.0218750000e+00 2.1706257070e+00 2.2085025956e-02
1.0250000000e+00 2.1453976381e+00 2.1940869289e-02
1.0281250000e+00 2.1203125810e+00 2.1796577419e-02
1.0312500000e+00 2.0953710694e+00 2.1652152711e-02
1.0343750000e+00 2.0705736200e+00 2.1507597575e-02
1.0375000000e+00 2.0459207252e+00 2.1362914394e-02
1.0406250000e+00 2.0214128624e+00 2.1218105544e-02
1.0437500000e+00 1.9970505042e+00 2.1073173438e-02
1.0468750000e+00 1.9728341100e+00 2.0928120450e-02
1.0500000000e+00 1.9487641416e+00 2.0782948976e-02
1.0531250000e+00 1.9248410662e+00 2.0637661430e-02
1.0562500000e+00 1.9010653540e+00 2.0492260197e-02
1.0593750000e+00 1.8774374922e+00 2.0346747687e-02
1.0625000000e+00 1.8539579842e+00 2.0201126292e-02
1.0656250000e+00 1.8306273615e+00 2.0055398426e-02
1.0687500000e+00 1.8074461827e+00 1.9909566489e-02
1.0718750000e+00 1.7844150439e+00 1.9763632898e-02
1.0750000000e+00 1.7615345750e+00 1.9617600050e-02
1.0781250000e+00 1.7388054481e+00 1.9471470356e-02
1.0812500000e+00 1.7162283750e+00 1.9325246230e-02
1.0843750000e+00 1.6938041071e+00 1.9178930092e-02
1.0875000000e+00 1.6715334292e+00 1.9032524348e-02
1.0906250000e+00 1.6494171616e+00 1.8886031431e-02
1.0937500000e+00 1.6274561490e+00 1.8739453762e-02
1.0968750000e+00 1.6056512559e+00 1.8592793751e-02
1.1000000000e+00 1.5840033656e+00 1.8446053835e-02
1.1031250000e+00 1.5625133689e+00 1.8299236431e-02
1.1062500000e+00 1.5411821625e+00 1.8152343963e-02
1.1093750000e+00 1.5200106413e+00 1.8005378837e-02
1.1125000000e+00 1.4989997061e+00 1.7858343517e-02
1.1156250000e+00 1.4781502436e+00 1.7711240411e-02
1.1187500000e+00 1.4574631376e+00 1.7564071964e-02
1.1218750000e+00 1.4369392577e+00 1.7416840601e-02
1.1250000000e+00 1.4165794629e+00 1.7269548774e-02
1.1281250000e+00 1.3963845900e+00 1.7122198903e-02
1.1312500000e+00 1.3763554573e+00 1.6974793438e-02
1.1343750000e+00 1.3564928562e+00 1.6827334831e-02
1.1375000000e+00 1.3367975400e+00 1.6679825509e-02
1.1406250000e+00 1.3172702239e+00 1.6532267922e-02
1.1437500000e+00 1.2979115737e+00 1.6384664517e-02
1.1468750000e+00 1.2787221992e+00 1.6237017745e-02
1.1500000000e+00 1.2597026445e+00 1.6089330045e-02
1.1531250000e+00 1.2408533865e+00 1.5941603879e-02
1.1562500000e+00 1.2221748272e+00 1.5793841708e-02
1.1593750000e+00 1.2036672909e+00 1.5646045985e-02
1.1625000000e+00 1.1853310247e+00 1.5498219160e-02
1.1656250000e+00 1.1671662051e+00 1.5350363715e-02
1.1687500000e+00 1.1491729357e+00 1.5202482097e-02
1.1718750000e+00 1.1313512626e+00 1.5054576778e-02
1.1750000000e+00 1.1137011826e+00 1.4906650236e-02
