Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
PenningTrapPIF{0}> PenningTrapPIF
PenningTrapPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
PenningTrapPIF{0}> particles created and initial conditions assigned 
PenningTrapPIF{0}> Finished time step: 360 time: 18
PenningTrapPIF{0}> Finished time step: 361 time: 18.05
PenningTrapPIF{0}> Finished time step: 362 time: 18.1
PenningTrapPIF{0}> Finished time step: 363 time: 18.15
PenningTrapPIF{0}> Finished time step: 364 time: 18.2
PenningTrapPIF{0}> Finished time step: 365 time: 18.25
PenningTrapPIF{0}> Finished time step: 366 time: 18.3
PenningTrapPIF{0}> Finished time step: 367 time: 18.35
PenningTrapPIF{0}> Finished time step: 368 time: 18.4
PenningTrapPIF{0}> Finished time step: 369 time: 18.45
PenningTrapPIF{0}> Finished time step: 370 time: 18.5
PenningTrapPIF{0}> Finished time step: 371 time: 18.55
PenningTrapPIF{0}> Finished time step: 372 time: 18.6
PenningTrapPIF{0}> Finished time step: 373 time: 18.65
PenningTrapPIF{0}> Finished time step: 374 time: 18.7
PenningTrapPIF{0}> Finished time step: 375 time: 18.75
PenningTrapPIF{0}> Finished time step: 376 time: 18.8
PenningTrapPIF{0}> Finished time step: 377 time: 18.85
PenningTrapPIF{0}> Finished time step: 378 time: 18.9
PenningTrapPIF{0}> Finished time step: 379 time: 18.95
PenningTrapPIF{0}> Finished time step: 380 time: 19
PenningTrapPIF{0}> Finished time step: 381 time: 19.05
PenningTrapPIF{0}> Finished time step: 382 time: 19.1
PenningTrapPIF{0}> Finished time step: 383 time: 19.15
PenningTrapPIF{0}> Finished time step: 384 time: 19.2
PenningTrapPIF{0}> PenningTrapPIF End.
Timings{0}> ---------------------------------------------
Timings{0}>      Timing results for 32 ranks:
Timings{0}> ---------------------------------------------
Timings{0}> mainTimer........... Wall tot =    7.79419
Timings{0}> 
Timings{0}> particlesCreation... Wall max =  0.0700005
Timings{0}>                      Wall avg =  0.0577954
Timings{0}>                      Wall min =  0.0310812
Timings{0}> 
Timings{0}> dumpData............ Wall max = 0.000939349
Timings{0}>                      Wall avg = 0.000906193
Timings{0}>                      Wall min = 0.000889703
Timings{0}> 
Timings{0}> kick................ Wall max =  0.0165657
Timings{0}>                      Wall avg =  0.0160827
Timings{0}>                      Wall min =  0.0152077
Timings{0}> 
Timings{0}> drift............... Wall max = 0.00645218
Timings{0}>                      Wall avg = 0.00613752
Timings{0}>                      Wall min = 0.00576349
Timings{0}> 
Timings{0}> particleBC.......... Wall max =  0.0206658
Timings{0}>                      Wall avg =  0.0192586
Timings{0}>                      Wall min =  0.0188452
Timings{0}> 
Timings{0}> initializeShapeFunc. Wall max = 0.00014862
Timings{0}>                      Wall avg = 0.000117108
Timings{0}>                      Wall min = 9.4481e-05
Timings{0}> 
Timings{0}> ScatterPIFNUFFT..... Wall max =   0.328957
Timings{0}>                      Wall avg =   0.323031
Timings{0}>                      Wall min =   0.314666
Timings{0}> 
Timings{0}> scatterAllReducePIF. Wall max =    5.82856
Timings{0}>                      Wall avg =    5.78715
Timings{0}>                      Wall min =    5.74193
Timings{0}> 
Timings{0}> GatherPIFNUFFT...... Wall max =   0.504961
Timings{0}>                      Wall avg =    0.49963
Timings{0}>                      Wall min =   0.494277
Timings{0}> 
Timings{0}> ---------------------------------------------
