time, Ex_field_energy, Ex_max_norm
1.2200000000e+01 2.5880121906e-01 2.6504105458e-03
1.2250000000e+01 2.5241316816e-01 2.3099054029e-03
1.2300000000e+01 2.4698238075e-01 1.9630015516e-03
1.2350000000e+01 2.4272889349e-01 1.6115879718e-03
1.2400000000e+01 2.3883897907e-01 1.2580202953e-03
1.2450000000e+01 2.3527446685e-01 9.0525765160e-04
1.2500000000e+01 2.3277376987e-01 6.6081567591e-04
1.2550000000e+01 2.3195420127e-01 6.4838609826e-04
1.2600000000e+01 2.3287407048e-01 6.5846268152e-04
1.2650000000e+01 2.3428161830e-01 6.6643847895e-04
1.2700000000e+01 2.3592431510e-01 8.7624021946e-04
1.2750000000e+01 2.3792752627e-01 1.2018437309e-03
1.2800000000e+01 2.3985061217e-01 1.5195665291e-03
1.2850000000e+01 2.4215707075e-01 1.8268818753e-03
1.2900000000e+01 2.4532250725e-01 2.1221238791e-03
1.2950000000e+01 2.5028910040e-01 2.4037812844e-03
1.3000000000e+01 2.5633012352e-01 2.6707728824e-03
1.3050000000e+01 2.6276731570e-01 2.9219177765e-03
1.3100000000e+01 2.6959133534e-01 3.1562063685e-03
1.3150000000e+01 2.7574223622e-01 3.3728264509e-03
1.3200000000e+01 2.8228091345e-01 3.5710982596e-03
1.3250000000e+01 2.8900322907e-01 3.7502261407e-03
1.3300000000e+01 2.9519360600e-01 3.9098322450e-03
1.3350000000e+01 3.0016510411e-01 4.0493916481e-03
1.3400000000e+01 3.0284682798e-01 4.1686010996e-03
1.3450000000e+01 3.0382760138e-01 4.2672068970e-03
1.3500000000e+01 3.0443011220e-01 4.3451872957e-03
1.3550000000e+01 3.0522306748e-01 4.4024231380e-03
1.3600000000e+01 3.0617456606e-01 4.4390683660e-03
1.3650000000e+01 3.0702366253e-01 4.4553483354e-03
1.3700000000e+01 3.0662908413e-01 4.4513639092e-03
1.3750000000e+01 3.0585376819e-01 4.4276329585e-03
1.3800000000e+01 3.0499423573e-01 4.3844979071e-03
1.3850000000e+01 3.0316630626e-01 4.3226359623e-03
1.3900000000e+01 3.0044830284e-01 4.2424525872e-03
1.3950000000e+01 2.9703221542e-01 4.1448729082e-03
1.4000000000e+01 2.9279939106e-01 4.0304590457e-03
1.4050000000e+01 2.8773080281e-01 3.9000856774e-03
1.4100000000e+01 2.8242883485e-01 3.7546852332e-03
1.4150000000e+01 2.7769161349e-01 3.5950961262e-03
